result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,white_piece_activity,black_piece_activity,eval_after_move_15
1-0,78,Queen's Pawn Opening,white,6,6,True,True,20,22,2.2058823529411766,1.2328767123287672,31.690322580645162,29.806451612903224,0.2
0-1,59,Bird's Opening,black,5,5,False,True,16,26,0.3333333333333333,2.0526315789473686,27.879310344827587,34.008620689655174,-0.11
1-0,42,Bird's Opening,white,5,5,True,True,8,12,1.064516129032258,0.3392857142857143,34.46987951807229,35.81927710843374,-0.14
1-0,72,Larsen's Opening,white,9,9,True,True,14,10,1.028169014084507,0.6862745098039216,30.678321678321677,29.53846153846154,-0.27
1-0,55,Reti Opening,white,8,8,True,True,8,14,0.6382978723404256,0.6666666666666666,29.96330275229358,29.605504587155963,-0.27
0-1,41,Reti Opening,black,20,20,True,False,18,4,0.5625,0.9310344827586206,33.0625,36.4375,0.0
0-1,55,Queen's Pawn Game,black,7,7,True,True,16,14,0.5357142857142857,0.7999999999999999,30.77777777777778,37.074074074074076,-0.81
1-0,42,Bird's Opening,white,5,5,True,False,36,0,0.8857142857142858,0.6744186046511628,36.75903614457831,30.048192771084338,2.28
0-1,43,Larsen's Opening,black,5,5,True,True,14,28,0.6944444444444444,0.7321428571428571,34.154761904761905,39.595238095238095,0.5
0-1,61,Queen's Pawn Opening,black,16,16,True,True,6,12,0.890625,0.8625,29.816666666666666,35.31666666666667,0.55
0-1,45,Larsen's Opening,black,9,9,True,True,8,14,0.7441860465116279,1.1714285714285715,35.27272727272727,35.875,-0.31
0-1,52,Queen's Pawn Opening,black,7,7,True,False,6,16,0.5,1.326086956521739,28.57843137254902,32.72549019607843,-1.16
0-1,36,Sicilian Defense,black,17,17,True,False,0,6,0.8541666666666666,1.0,37.17142857142857,35.27142857142857,-0.78
0-1,44,Bird's Opening,black,10,10,False,True,0,14,0.43636363636363634,0.5652173913043478,30.72093023255814,36.093023255813954,-0.18
0-1,42,Bird's Opening,black,16,16,True,False,8,12,1.75,1.1428571428571428,26.195121951219512,32.76829268292683,1.18
1-0,58,Dunst Opening,white,12,12,True,True,4,8,2.2105263157894735,0.42105263157894735,34.321739130434786,30.121739130434783,0.29
1/2-1/2,193,Veresov Attack,draw,17,17,True,True,38,16,0.3559322033898305,1.9,28.625,17.091145833333332,1.28
1/2-1/2,123,Bird's Opening,draw,19,19,True,True,16,4,1.6896551724137931,2.9999999999999996,25.024590163934427,15.594262295081966,-0.47
1-0,72,Larsen's Opening,white,16,16,True,True,12,14,3.928571428571428,0.5428571428571428,28.363636363636363,24.643356643356643,-0.73
