result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,w_center_control,b_center_control,white_piece_activity,black_piece_activity,eval_after_move_15
0-1,44,Benko's Opening,black,12,12,True,True,2,12,1.7647058823529413,3.4117647058823533,2.5232558139534884,3.3372093023255816,32.74418604651163,38.906976744186046,1.36
0-1,72,Bird's Opening,black,7,7,True,True,6,14,1.4444444444444444,0.20833333333333334,2.471830985915493,3.1056338028169015,28.133802816901408,35.105633802816904,-0.27
1-0,165,Reti Opening,white,19,19,True,True,28,12,0.2595419847328244,0.38399999999999995,2.0303951367781155,1.9027355623100304,28.4741641337386,20.638297872340427,0.61
1-0,60,Benko's Opening,white,16,16,True,True,22,10,1.9047619047619047,1.3333333333333333,3.4201680672268906,2.361344537815126,36.51260504201681,30.294117647058822,-0.29
0-1,55,Bird's Opening,black,19,19,True,False,12,30,2.1176470588235294,0.6567164179104478,2.009259259259259,3.3333333333333335,22.38888888888889,33.78703703703704,-0.87
1-0,53,"English, King's Indian Variation",white,16,16,True,True,30,14,1.0,1.2173913043478262,3.3142857142857145,1.638095238095238,33.49523809523809,25.2,0.09
0-1,55,King' s Pawn Opening,black,11,11,True,False,14,24,1.0357142857142858,0.7272727272727273,2.6203703703703702,2.685185185185185,26.97222222222222,37.49074074074074,0.0
0-1,74,Bird's Opening,black,20,20,True,True,10,40,1.9705882352941175,0.6140350877192983,2.0273972602739727,2.595890410958904,24.76027397260274,34.0,-0.93
0-1,48,Bird's Opening,black,18,18,True,True,8,14,0.46511627906976744,1.1428571428571428,3.0851063829787235,3.1914893617021276,32.840425531914896,34.808510638297875,0.42
1-0,43,Bird's Opening,white,9,9,True,True,14,18,0.7297297297297296,0.3829787234042554,2.6470588235294117,3.152941176470588,35.0,36.01176470588236,-0.6
0-1,76,Queen's Pawn Opening,black,5,5,False,False,8,16,0.326530612244898,1.8846153846153846,1.8533333333333333,2.64,29.08,29.606666666666666,0.27
1-0,61,English Opening,white,18,18,True,False,22,6,1.380952380952381,1.7631578947368418,2.7024793388429753,2.809917355371901,34.66115702479339,31.975206611570247,0.12
0-1,47,Benko's Opening,black,8,8,True,True,8,12,0.8684210526315789,0.5142857142857142,2.4456521739130435,2.260869565217391,29.945652173913043,37.90217391304348,0.78
1-0,63,Bird's Opening,white,11,11,True,True,40,16,0.7872340425531914,2.6333333333333333,2.832,2.144,36.36,29.016,-1.05
1-0,33,Dunst Opening,white,10,10,True,True,16,28,3.8888888888888884,0.24242424242424243,3.046153846153846,3.0307692307692307,36.04615384615385,35.4,0.21
1/2-1/2,93,Queen's Pawn Opening,draw,16,16,True,True,26,14,1.4307692307692308,2.340909090909091,2.4510869565217392,2.505434782608696,31.869565217391305,31.456521739130434,0.92
1-0,49,English Opening,white,18,18,False,True,50,24,1.5454545454545454,0.8055555555555556,2.783505154639175,2.247422680412371,36.618556701030926,32.123711340206185,0.66
0-1,57,Benko's Opening,black,18,18,True,False,6,4,0.7037037037037037,0.7413793103448275,2.5892857142857144,2.3660714285714284,29.946428571428573,35.151785714285715,-0.28
1-0,66,Reti Opening,white,15,15,True,False,20,12,0.6065573770491803,1.0,2.6259541984732824,2.1755725190839694,34.06106870229008,22.96946564885496,3.31
0-1,68,Bird's Opening,black,7,7,True,False,28,16,1.8421052631578947,2.0526315789473686,1.8432835820895523,2.5671641791044775,24.417910447761194,29.82089552238806,-0.12
1-0,63,Reti Opening,white,18,18,True,False,20,14,0.9827586206896552,0.5531914893617021,3.248,2.224,34.36,28.456,-0.21
0-1,54,Dunst Opening,black,8,8,True,True,10,22,0.4,1.275,2.481132075471698,3.160377358490566,36.75471698113208,34.14150943396226,0.54
0-1,44,King' s Pawn Opening,black,6,6,True,False,24,14,0.23404255319148937,0.1896551724137931,2.511627906976744,2.488372093023256,35.674418604651166,35.53488372093023,-0.06
1-0,42,Benko's Opening,white,11,11,True,True,10,20,0.7959183673469388,1.0,3.5180722891566263,2.2650602409638556,37.024096385542165,33.80722891566265,0.71
0-1,83,Nimzo-Indian Defense,black,14,14,True,True,22,18,1.1875,1.4242424242424243,1.4451219512195121,2.176829268292683,22.597560975609756,31.213414634146343,0.07
