result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,opposite_side_castle,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,w_center_control,b_center_control,white_piece_activity,black_piece_activity,eval_after_move_15
0-1,77,Larsen's Opening,black,15,15,False,False,False,12,26,0.8157894736842104,0.6744186046511628,2.473684210526316,2.5526315789473686,24.651315789473685,31.61842105263158,-0.55
1-0,43,Benko's Opening,white,19,19,False,True,False,22,18,0.7068965517241379,0.7999999999999999,2.211764705882353,2.7411764705882358,37.67058823529412,33.92941176470588,-0.32
0-1,34,Dunst Opening,black,19,19,True,False,False,6,0,0.4090909090909091,0.3863636363636363,2.212121212121212,2.1818181818181817,31.181818181818183,34.95454545454545,-0.51
0-1,66,Benko's Opening,black,17,17,True,True,False,26,30,0.7659574468085107,0.509090909090909,2.0923076923076924,2.4,27.984615384615385,33.93076923076923,0.25
1-0,93,Benko's Opening,white,6,6,True,False,False,32,18,2.4285714285714284,1.5135135135135134,1.8432432432432435,1.7513513513513514,29.762162162162163,21.897297297297296,-3.41
1-0,30,Ruy López,white,10,10,True,False,False,8,2,0.8846153846153845,0.2,2.8135593220338984,2.135593220338983,35.898305084745765,34.77966101694916,0.41
1-0,87,English Opening,white,14,14,True,True,True,22,32,2.55,0.4375,2.167630057803468,2.005780346820809,31.07514450867052,25.213872832369944,-0.67
0-1,112,Queen's Pawn Opening,black,16,16,True,True,False,24,10,1.921052631578948,0.3563218390804598,1.4009009009009008,1.481981981981982,21.635135135135137,24.6036036036036,0.84
0-1,52,English Opening,black,7,7,True,True,False,6,4,0.9473684210526316,1.2391304347826086,3.313725490196078,3.0588235294117645,32.049019607843135,34.90196078431372,1.1
1-0,66,Queen's Pawn Opening,white,19,19,True,False,False,34,18,0.2142857142857142,2.380952380952381,2.572519083969466,2.206106870229008,31.572519083969464,25.931297709923665,0.57
0-1,21,Queen's Pawn Opening,black,5,5,True,False,False,0,2,1.0,0.5714285714285714,2.725,2.7,37.425,36.8,0.41
1-0,89,Queen's Pawn Opening,white,7,7,True,True,True,10,14,1.3653846153846152,0.4090909090909091,2.8870056497175143,1.8305084745762712,35.09604519774011,18.90395480225989,1.91
0-1,69,Reti Opening,black,18,18,True,True,False,12,54,0.7241379310344827,0.5384615384615385,2.25,2.4044117647058822,23.13235294117647,34.68382352941177,-0.27
1/2-1/2,214,Queen's Pawn Opening,draw,8,8,False,True,False,32,40,0.7714285714285714,0.3787878787878787,1.0866510538641687,1.613583138173302,13.969555035128806,22.92271662763466,0.59
0-1,54,King' s Pawn Opening,black,11,11,False,True,False,8,20,1.0,0.7999999999999999,3.292452830188679,2.5283018867924527,33.75471698113208,32.716981132075475,1.11
0-1,125,Reti Opening,black,16,16,True,True,False,4,22,0.3692307692307692,0.3846153846153846,1.8629032258064515,2.379032258064516,20.911290322580644,25.77822580645161,0.06
1/2-1/2,142,Benko's Opening,draw,20,20,True,True,False,30,22,1.7241379310344829,0.5631578947368421,1.017667844522968,2.607773851590106,16.180212014134277,28.749116607773853,0.2
0-1,46,English Opening,black,15,15,True,True,False,16,16,0.8181818181818181,1.333333333333333,2.6333333333333333,2.7333333333333334,35.15555555555556,36.48888888888889,-0.42
0-1,50,Dunst Opening,black,11,11,True,False,False,14,28,5.3,0.5897435897435898,2.4183673469387754,2.989795918367347,26.867346938775512,35.09183673469388,0.15
